Year,Percentage,Race
2014,65,White
2014,23,Asian
2014,5,Mix Race
2014,4,Latino
2014,3,Black
2014,1,Native American
2014,1,PacificIslander
2015,64,White
2015,23,Asian
2015,4,Mix Race
2015,4,Latino
2015,4,Black
2015,1,Native American
2015,1,PacificIslander
2016,63,White
2016,23,Asian
2016,4,Mix Race
2016,5,Latino
2016,4,Black
2016,1,Native American
2016,1,PacificIslander
2017,61,White
2017,23,Asian
2017,5,Mix Race
2017,5,Latino
2017,5,Black
2017,1,Native American
2017,1,PacificIslander
