Year,Percentage,Race
2014,61,White
2014,30,Asian
2014,4,Mix Race
2014,3,Latino
2014,2,Black
2014,1,Native American
2014,1,PacificIslander
2015,60,White
2015,31,Asian
2015,3,Mix Race
2015,3,Latino
2015,2,Black
2015,1,Native American
2015,1,PacificIslander
2016,59,White
2016,32,Asian
2016,3,Mix Race
2016,3,Latino
2016,2,Black
2016,1,Native American
2016,1,PacificIslander
2017,56,White
2017,35,Asian
2017,4,Mix Race
2017,4,Latino
2017,2,Black
2017,1,Native American
2017,1,PacificIslander
