Year,Percentage,Race
2014,61,White
2014,30,Asian
2014,4,Mix Race
2014,3,Latino
2014,2,Black
2014,1,Native American
2014,1,PacificIslander
2015,59,White
2015,35,Asian
2015,3,Mix Race
2015,2,Latino
2015,1,Black
2015,1,Native American
2015,1,PacificIslander
2016,57,White
2016,37,Asian
2016,3,Mix Race
2016,3,Latino
2016,1,Black
2016,1,Native American
2016,1,PacificIslander
2017,68,White
2017,27,Asian
2017,3,Mix Race
2017,3,Latino
2017,1,Black
2017,1,Native American
2017,1,PacificIslander
