Year,Percentage,Race
2014,72,White
2014,3,Asian
2014,1,Mix Race
2014,1,Latino
2014,1,Black
2014,1,Native American
2014,1,PacificIslander
2015,72,White
2015,23,Asian
2015,2,Mix Race
2015,1,Latino
2015,2,Black
2015,1,Native American
2015,1,PacificIslander
2016,70,White
2016,25,Asian
2016,2,Mix Race
2016,1,Latino
2016,2,Black
2016,1,Native American
2016,1,PacificIslander
2017,68,White
2017,27,Asian
2017,2,Mix Race
2017,2,Latino
2017,2,Black
2017,1,Native American
2017,1,PacificIslander
